test_name,mean_log_duration,variance_log_duration
stage1-1337,-15.414441,4.630224e-09
stage1-42,-15.423754,3.730815e-09
stage1-print-multiple,-14.880734,5.551399e-09
stage2-1-plus-1,-15.417299,3.838244e-09
stage2-1-plus-2-plus3,-15.399964,4.883277e-09
stage2-1-plus-5,-15.418377,4.506159e-09
stage2-5-plus-1,-15.416418,3.775031e-09
stage2-big-stack,-15.048829,4.927516e-09
stage2-overflow,-15.414238,4.393723e-09
stage3-bad-order,-15.415961,4.549370e-09
stage3-lots-of-ops,-12.756345,4.280501e-08
stage3-overflow,-15.272850,4.365156e-09
stage4-basic-division,-14.941708,5.003680e-09
stage4-lots-of-ops,-11.212322,1.852049e-07
stage5-big-locals,-15.223882,4.708205e-09
stage5-local-test,-15.373016,3.674967e-09
stage5-local-test2,-15.343883,4.535228e-09
stage5-lots-of-ops,-10.598737,3.448534e-07
stage6-comparisons,-15.313315,3.708140e-09
stage7-bswap,-14.892616,5.035440e-09
stage7-count-to-20,-15.085020,4.816644e-09
stage7-count-together,-13.403312,2.162844e-08
stage7-count-up-down,-14.693660,6.327085e-09
stage7-digit-powers,-2.245703,2.760769e-04
stage7-double-palindromes,-3.006717,1.672314e-04
stage7-exponentiation,-10.989014,2.313973e-07
stage7-fizz-buzz,-12.930649,4.318885e-08
stage7-lcm,-8.051964,3.464892e-06
stage7-loops-of-ops,-0.964310,1.200135e-04
stage7-pascals-triangle,-11.415512,2.142535e-07
stage7-pi-approx,-13.417496,2.351959e-08
stage7-pi-exact,-0.860421,6.465658e-04
stage7-primes,-6.798341,1.164016e-05
stage7-riemann-sum,-5.495665,5.578510e-06
stage7-sin,-8.071598,3.286681e-06
stage7-sqrt,-13.943080,1.326310e-08
stage7-square-digits,1.451112,8.851105e-06
stage7-unhash,1.324347,1.066462e-08
